CHILD,SEX,DOB,DUC,LA,YEAR
318330,1,02/08/2002,28/07/2020,Hampshire,2021
358527,1,05/01/2012,31/12/2029,Buckinghamshire,2024
347428,2,08/03/2013,04/03/2031,Medway,2021
366314,2,15/03/2009,11/03/2027,Oxfordshire,2024
353484,2,27/04/2005,23/04/2023,Milton Keynes,2022
397049,1,21/03/2012,17/03/2030,Slough,2021
336322,1,08/08/2011,03/08/2029,Medway,2024
318283,2,09/04/2013,05/04/2031,Slough,2020
313398,1,21/04/2009,17/04/2027,Milton Keynes,2020
384527,2,02/01/2004,28/12/2021,Hampshire,2023
327800,1,28/09/2007,23/09/2025,Medway,2021
398477,2,06/08/2010,01/08/2028,Wokingham,2024
392955,2,13/05/2008,09/05/2026,Wokingham,2021
322061,2,22/09/2005,18/09/2023,Southampton,2022
371718,1,07/12/2004,03/12/2022,Oxfordshire,2021
344736,1,17/07/2002,12/07/2020,Hampshire,2022
325237,1,16/04/2002,11/04/2020,Wokingham,2024
351753,1,16/10/2001,12/10/2019,West Sussex,2020
357837,1,01/05/2001,27/04/2019,Reading,2019
334525,1,21/03/2007,16/03/2025,West Sussex,2023
385799,1,03/02/2004,29/01/2022,Portsmouth,2024
369955,1,25/03/2007,20/03/2025,Oxfordshire,2022
344576,2,15/11/2011,10/11/2029,Surrey,2024
385827,2,17/09/2003,12/09/2021,Hampshire,2021
337119,1,14/02/2007,09/02/2025,Medway,2021
334673,1,02/04/2012,29/03/2030,Buckinghamshire,2020
371591,2,08/01/2006,04/01/2024,Buckinghamshire,2019
370194,2,06/07/2008,02/07/2026,Brighton and Hove,2023
331585,2,30/06/2005,26/06/2023,Isle of Wight,2022
338163,2,25/06/2000,21/06/2018,Hampshire,2022
355605,1,20/10/2002,15/10/2020,Surrey,2024
351269,1,06/03/2001,02/03/2019,Wokingham,2023
313376,2,09/03/2004,05/03/2022,East Sussex,2021
340951,2,28/11/2013,24/11/2031,Southampton,2023
363591,2,07/10/2012,03/10/2030,Hampshire,2022
394659,1,30/01/2011,25/01/2029,Reading,2020
326789,1,23/09/2009,19/09/2027,West Berkshire,2021
385332,1,05/12/2004,01/12/2022,East Sussex,2021
363998,1,03/07/2001,29/06/2019,Portsmouth,2022
336786,1,14/12/2011,09/12/2029,West Berkshire,2024
340080,1,08/09/2010,03/09/2028,West Sussex,2023
372691,1,26/03/2003,21/03/2021,Kent,2021
309543,1,10/01/2010,06/01/2028,Brighton and Hove,2021
328455,2,01/10/2010,26/09/2028,Milton Keynes,2023
317461,2,20/03/2006,15/03/2024,West Berkshire,2022
358162,2,19/07/2000,15/07/2018,East Sussex,2023
312778,2,21/12/2001,17/12/2019,Portsmouth,2022
330142,1,02/12/2000,28/11/2018,Kent,2022
357704,1,28/08/2002,23/08/2020,Buckinghamshire,2024
342377,1,15/03/2008,11/03/2026,Portsmouth,2022
344264,2,06/11/2013,02/11/2031,Medway,2020
373208,1,08/02/2007,03/02/2025,East Sussex,2019
368893,1,18/12/2013,14/12/2031,Brighton and Hove,2021
349135,2,15/05/2013,11/05/2031,West Berkshire,2020
335950,2,28/07/2008,24/07/2026,Brighton and Hove,2020
358292,2,24/11/2011,19/11/2029,West Berkshire,2020
383704,1,28/08/2006,23/08/2024,Isle of Wight,2020
345684,1,06/12/2002,01/12/2020,Isle of Wight,2024
384243,2,23/05/2010,18/05/2028,Reading,2019
387558,2,16/09/2010,11/09/2028,Milton Keynes,2023
384292,2,22/08/2005,18/08/2023,Oxfordshire,2021
381786,2,10/03/2008,06/03/2026,Portsmouth,2020
336746,2,24/06/2009,20/06/2027,Buckinghamshire,2021
369004,1,24/07/2004,20/07/2022,Hampshire,2022
372376,1,08/04/2012,04/04/2030,West Berkshire,2022
327802,1,23/05/2005,19/05/2023,Brighton and Hove,2021
314305,2,12/04/2007,07/04/2025,Kent,2023
388270,1,19/06/2000,15/06/2018,Kent,2022
382956,1,22/10/2001,18/10/2019,Surrey,2021
370346,1,12/05/2005,08/05/2023,West Berkshire,2022
351789,1,14/11/2012,10/11/2030,Reading,2020
316131,2,09/04/2009,05/04/2027,Isle of Wight,2023
343409,2,24/10/2010,19/10/2028,Buckinghamshire,2020
384668,2,25/03/2014,20/03/2032,East Sussex,2021
350538,2,28/11/2005,24/11/2023,Surrey,2020
300405,2,27/10/2009,23/10/2027,Brighton and Hove,2024
390175,1,05/10/2009,01/10/2027,Wokingham,2021
333876,1,03/11/2012,30/10/2030,West Sussex,2024
337439,1,29/10/2010,24/10/2028,East Sussex,2023
324287,1,17/03/2002,12/03/2020,Brighton and Hove,2022
359372,2,19/10/2011,14/10/2029,Milton Keynes,2019
353160,2,05/01/2011,31/12/2028,West Sussex,2023
377444,1,07/05/2011,02/05/2029,Milton Keynes,2024
310439,2,20/07/2011,15/07/2029,West Berkshire,2022
326691,1,24/02/2002,20/02/2020,Surrey,2021
327571,1,27/11/2006,22/11/2024,West Sussex,2021
319131,2,16/06/2003,11/06/2021,Slough,2022
312670,2,07/07/2002,02/07/2020,Reading,2019
374206,2,20/07/2012,16/07/2030,Milton Keynes,2020
380082,2,18/06/2004,14/06/2022,Southampton,2024
338833,2,14/09/2011,09/09/2029,Isle of Wight,2024
304650,2,25/05/2003,20/05/2021,West Sussex,2020
340083,2,26/02/2014,22/02/2032,Oxfordshire,2021
302702,2,10/01/2003,05/01/2021,Brighton and Hove,2023
330319,2,20/06/2012,16/06/2030,West Berkshire,2024
374716,2,30/07/2002,25/07/2020,Southampton,2019
363806,2,07/08/2010,02/08/2028,Windsor and Maidenhead,2019
307452,2,26/10/2004,22/10/2022,Southampton,2024
306939,1,28/04/2002,23/04/2020,Oxfordshire,2019
319150,2,14/11/2002,09/11/2020,Reading,2021
313638,2,19/05/2009,15/05/2027,East Sussex,2020
365948,2,26/11/2008,22/11/2026,East Sussex,2022
336854,2,24/07/2000,20/07/2018,Milton Keynes,2023
347660,2,26/08/2011,21/08/2029,Milton Keynes,2020
348198,2,22/06/2012,18/06/2030,Bracknell Forest,2020
383907,1,11/01/2011,06/01/2029,Portsmouth,2021
454089,1,23/08/2003,18/08/2021,Hampshire,2023
420186,1,22/02/2009,18/02/2027,Southampton,2023
470790,1,23/11/2004,19/11/2022,Portsmouth,2021
476295,1,28/11/2012,24/11/2030,Buckinghamshire,2021
485960,1,07/08/2014,02/08/2032,Reading,2019
452845,2,09/12/2015,04/12/2033,Buckinghamshire,2022
404274,2,09/09/2000,05/09/2018,Surrey,2024
497848,2,22/10/2017,18/10/2035,Medway,2023
409125,1,15/10/2002,10/10/2020,Southampton,2021
456797,2,15/06/2016,11/06/2034,West Berkshire,2024
499344,2,19/02/2005,15/02/2023,Portsmouth,2022
467501,2,21/12/2013,17/12/2031,Brighton and Hove,2019
461012,1,07/10/2017,03/10/2035,Brighton and Hove,2022
464073,2,12/10/2010,07/10/2028,Windsor and Maidenhead,2024
400350,1,20/12/2007,15/12/2025,Kent,2021
403097,1,28/02/2011,23/02/2029,Milton Keynes,2019
418504,1,12/04/2002,07/04/2020,Kent,2022
438661,1,12/11/2016,08/11/2034,Milton Keynes,2021
479599,1,19/08/2008,15/08/2026,West Sussex,2019
489266,2,25/06/2013,21/06/2031,Windsor and Maidenhead,2024
459556,1,21/09/2015,16/09/2033,West Sussex,2020
405727,2,05/03/2009,01/03/2027,West Berkshire,2020
449083,2,24/09/2006,19/09/2024,Medway,2024
416621,1,24/04/2004,20/04/2022,Reading,2019
425533,1,25/08/2015,20/08/2033,Bracknell Forest,2020
459993,2,22/08/2017,18/08/2035,Southampton,2023
495763,1,04/08/2009,31/07/2027,Kent,2021
455242,1,24/03/2007,19/03/2025,Southampton,2022
474268,2,14/11/2005,10/11/2023,Buckinghamshire,2019
447835,2,17/08/2010,12/08/2028,Portsmouth,2020
430152,1,02/05/2016,28/04/2034,Kent,2019
437946,2,26/04/2003,21/04/2021,Oxfordshire,2019
431146,1,08/03/2014,03/03/2032,Oxfordshire,2023
428511,2,03/01/2002,30/12/2019,Buckinghamshire,2020
419119,1,09/10/2001,05/10/2019,Slough,2023
469981,2,07/01/2007,02/01/2025,Milton Keynes,2019
491181,2,04/03/2003,27/02/2021,East Sussex,2022
417348,1,27/09/2008,23/09/2026,Portsmouth,2019
477922,1,09/12/2012,05/12/2030,Bracknell Forest,2024
437165,2,16/07/2007,11/07/2025,East Sussex,2023
434037,2,30/01/2004,25/01/2022,Slough,2020
479265,2,30/08/2006,25/08/2024,Hampshire,2019
444034,1,14/02/2004,09/02/2022,Hampshire,2020
480108,2,11/11/2003,06/11/2021,Oxfordshire,2021
427233,2,18/01/2018,14/01/2036,West Berkshire,2024
456246,1,02/06/2004,29/05/2022,Surrey,2023
442220,2,27/10/2005,23/10/2023,Bracknell Forest,2023
427935,1,14/01/2005,10/01/2023,West Sussex,2023
458088,2,03/10/2007,28/09/2025,East Sussex,2020
489165,2,22/07/2007,17/07/2025,Isle of Wight,2020
481677,1,10/01/2013,06/01/2031,Milton Keynes,2023
469188,2,16/03/2007,11/03/2025,Southampton,2019
415440,2,08/04/2006,03/04/2024,West Berkshire,2024
414405,2,26/01/2003,21/01/2021,Slough,2023
465256,2,15/06/2003,10/06/2021,Brighton and Hove,2020
484407,1,19/04/2014,14/04/2032,Portsmouth,2020
480668,2,09/06/2000,05/06/2018,Windsor and Maidenhead,2019
469867,1,20/06/2000,16/06/2018,West Berkshire,2019
495762,2,01/08/2013,28/07/2031,Portsmouth,2021
406692,2,08/04/2016,04/04/2034,Milton Keynes,2024
487527,1,01/02/2018,28/01/2036,Medway,2022
410836,2,03/10/2001,29/09/2019,Bracknell Forest,2021
461142,2,06/10/2005,02/10/2023,Reading,2019
427532,1,06/02/2017,02/02/2035,Oxfordshire,2020
410829,2,05/11/2003,31/10/2021,Wokingham,2021
444107,1,08/11/2001,04/11/2019,Medway,2022
430458,2,08/08/2002,03/08/2020,Milton Keynes,2022
405718,1,20/06/2017,16/06/2035,Milton Keynes,2024
452197,2,14/09/2009,10/09/2027,Brighton and Hove,2022
407342,2,23/08/2017,19/08/2035,Surrey,2022
443841,2,13/06/2008,09/06/2026,Bracknell Forest,2024
429854,1,07/10/2004,03/10/2022,Bracknell Forest,2020
493710,1,06/05/2005,02/05/2023,Surrey,2021
415499,2,01/01/2004,27/12/2021,West Sussex,2024
441136,2,28/05/2005,24/05/2023,Milton Keynes,2021
468010,2,15/11/2003,10/11/2021,Portsmouth,2019
416759,2,11/09/2004,07/09/2022,Oxfordshire,2021
466519,1,08/08/2005,04/08/2023,Brighton and Hove,2022
478496,2,04/10/2001,30/09/2019,East Sussex,2024
408735,2,10/08/2008,06/08/2026,Bracknell Forest,2022
421487,2,17/02/2010,13/02/2028,Surrey,2023
409075,2,12/11/2002,07/11/2020,Medway,2023
408444,2,21/08/2004,17/08/2022,East Sussex,2022
498999,2,28/11/2002,23/11/2020,Buckinghamshire,2022
417371,2,04/05/2008,30/04/2026,Windsor and Maidenhead,2021
435688,2,05/03/2012,01/03/2030,Oxfordshire,2021
460282,1,13/12/2003,08/12/2021,Brighton and Hove,2024
428388,1,07/11/2001,03/11/2019,West Berkshire,2019
451325,1,09/10/2004,05/10/2022,Brighton and Hove,2022
409712,1,17/01/2012,12/01/2030,Brighton and Hove,2019
462507,2,15/03/2014,10/03/2032,Brighton and Hove,2022
413111,1,16/12/2016,12/12/2034,Kent,2021
463237,2,28/08/2001,24/08/2019,Reading,2019
488720,2,21/03/2001,17/03/2019,West Sussex,2021
400919,1,09/06/2007,04/06/2025,East Sussex,2019
465320,2,06/02/2003,01/02/2021,West Sussex,2022
458528,1,13/12/2006,08/12/2024,Buckinghamshire,2022
456864,2,19/05/2016,15/05/2034,Reading,2024
417193,1,09/06/2002,04/06/2020,Kent,2021
493643,2,06/09/2001,02/09/2019,Isle of Wight,2021
435556,1,25/10/2004,21/10/2022,Windsor and Maidenhead,2022
496108,1,13/12/2002,08/12/2020,Isle of Wight,2024
404065,2,27/06/2014,22/06/2032,Brighton and Hove,2022
459203,1,12/09/2004,08/09/2022,Reading,2023
436671,1,06/08/2014,01/08/2032,Oxfordshire,2019
492481,2,08/03/2003,03/03/2021,Surrey,2020
472204,1,18/06/2005,14/06/2023,Milton Keynes,2021
409756,2,21/10/2005,17/10/2023,Brighton and Hove,2019
473897,2,09/09/2013,05/09/2031,Medway,2023
410016,2,30/05/2011,25/05/2029,Milton Keynes,2023
499022,1,01/12/2017,27/11/2035,Windsor and Maidenhead,2019
446156,2,30/10/2008,26/10/2026,Milton Keynes,2021
421235,1,06/06/2003,01/06/2021,Slough,2021
496362,2,10/03/2004,06/03/2022,Milton Keynes,2022
489666,1,07/04/2007,02/04/2025,Isle of Wight,2023
424595,2,29/06/2004,25/06/2022,West Sussex,2023
491832,1,24/08/2003,19/08/2021,Milton Keynes,2024
433013,1,08/01/2017,04/01/2035,Windsor and Maidenhead,2023
423229,1,05/09/2007,31/08/2025,Milton Keynes,2024
485090,2,06/01/2008,01/01/2026,West Berkshire,2024
483112,1,05/01/2002,01/01/2020,Buckinghamshire,2023
423816,1,20/07/2010,15/07/2028,West Berkshire,2020
482972,1,31/03/2006,26/03/2024,West Sussex,2023
401652,1,09/08/2006,04/08/2024,Hampshire,2023
461736,1,12/03/2007,07/03/2025,East Sussex,2021
410534,2,24/05/2011,19/05/2029,Reading,2019
427228,1,17/09/2013,13/09/2031,Slough,2024
470400,1,27/08/2001,23/08/2019,Slough,2024
468208,1,04/04/2005,31/03/2023,Portsmouth,2023
488250,1,28/03/2005,24/03/2023,Slough,2019
498429,1,02/10/2001,28/09/2019,Reading,2022
464715,1,27/11/2002,22/11/2020,West Berkshire,2020
434792,1,02/09/2003,28/08/2021,Surrey,2023
493008,1,11/03/2012,07/03/2030,Medway,2020
453167,1,29/02/2008,24/02/2026,Milton Keynes,2023
497254,1,09/04/2007,04/04/2025,West Sussex,2021
413570,1,09/01/2014,05/01/2032,Reading,2020
430495,2,28/10/2017,24/10/2035,Southampton,2019
442786,2,12/02/2009,08/02/2027,Surrey,2021
458680,1,19/04/2014,14/04/2032,Windsor and Maidenhead,2022
438578,1,27/01/2014,23/01/2032,Wokingham,2020
459091,1,02/01/2011,28/12/2028,Reading,2020
418806,1,27/11/2000,23/11/2018,West Berkshire,2022
420852,2,10/08/2007,05/08/2025,Isle of Wight,2022
442171,1,08/02/2014,04/02/2032,Bracknell Forest,2022
461534,1,22/03/2007,17/03/2025,Brighton and Hove,2024
470582,1,15/11/2002,10/11/2020,Kent,2019
420124,2,03/03/2006,27/02/2024,Wokingham,2022
410242,1,13/03/2012,09/03/2030,Buckinghamshire,2020
411358,1,02/01/2003,28/12/2020,Buckinghamshire,2019
416991,2,12/02/2005,08/02/2023,Slough,2023
422391,1,01/07/2012,27/06/2030,Milton Keynes,2023
424467,2,17/02/2003,12/02/2021,Reading,2020
495567,2,17/09/2010,12/09/2028,Surrey,2021
406193,1,29/03/2005,25/03/2023,Surrey,2020
457570,2,05/11/2013,01/11/2031,Oxfordshire,2019
436453,2,04/01/2012,30/12/2029,West Berkshire,2021
477070,1,01/10/2016,27/09/2034,West Berkshire,2019
483228,1,22/02/2018,18/02/2036,Buckinghamshire,2019
469456,2,28/07/2005,24/07/2023,Surrey,2021
454857,2,18/08/2005,14/08/2023,Brighton and Hove,2021
467355,2,11/09/2004,07/09/2022,Buckinghamshire,2021
494074,2,11/02/2017,07/02/2035,Surrey,2023
602948,1,17/06/2021,13/06/2039,Hampshire,2022
647408,2,17/09/2006,12/09/2024,West Berkshire,2023
622238,1,26/02/2022,22/02/2040,Kent,2021
601217,1,20/03/2022,15/03/2040,Oxfordshire,2023
614927,2,09/09/2011,04/09/2029,Milton Keynes,2020
614506,2,10/05/2011,05/05/2029,Southampton,2020
668323,2,04/07/2006,29/06/2024,Hampshire,2020
667427,1,01/02/2023,27/01/2041,East Sussex,2020
633139,1,17/10/2011,12/10/2029,Bracknell Forest,2020
668856,1,27/09/2018,22/09/2036,Portsmouth,2020
693438,2,12/06/2017,08/06/2035,Buckinghamshire,2019
659037,1,01/08/2016,28/07/2034,Wokingham,2021
612590,2,17/06/2007,12/06/2025,West Berkshire,2022
694242,2,28/08/2005,24/08/2023,West Sussex,2024
651362,2,05/11/2011,31/10/2029,Milton Keynes,2020
621827,2,14/08/2005,10/08/2023,Medway,2021
601115,1,04/02/2014,31/01/2032,Isle of Wight,2023
625234,2,19/11/2006,14/11/2024,Milton Keynes,2020
691081,1,28/02/2006,24/02/2024,Wokingham,2022
621325,2,22/04/2005,18/04/2023,Oxfordshire,2021
634445,2,02/08/2005,29/07/2023,Kent,2024
620217,2,26/09/2005,22/09/2023,West Sussex,2019
680168,2,20/06/2006,15/06/2024,Reading,2021
679664,2,31/10/2007,26/10/2025,Portsmouth,2019
650900,2,23/12/2006,18/12/2024,Buckinghamshire,2019
621002,2,23/12/2005,19/12/2023,Windsor and Maidenhead,2020
626778,1,12/02/2019,07/02/2037,West Berkshire,2020
679414,2,07/07/2005,03/07/2023,Surrey,2024
609316,2,12/10/2019,07/10/2037,Kent,2024
662688,2,11/10/2007,06/10/2025,West Berkshire,2023
689638,2,24/04/2020,20/04/2038,Isle of Wight,2024
670332,2,27/10/2006,22/10/2024,Reading,2023
651110,1,20/11/2005,16/11/2023,Bracknell Forest,2019
618233,2,26/09/2020,22/09/2038,Oxfordshire,2022
626306,1,02/05/2008,28/04/2026,Medway,2024
649369,1,16/04/2006,11/04/2024,Kent,2019
671994,2,16/06/2008,12/06/2026,East Sussex,2019
641517,2,10/04/2008,06/04/2026,Buckinghamshire,2020
615956,2,14/05/2020,10/05/2038,Buckinghamshire,2022
634831,1,17/09/2005,13/09/2023,Milton Keynes,2023
605826,1,31/08/2014,26/08/2032,Slough,2023
676237,2,05/04/2006,31/03/2024,East Sussex,2023
661815,2,25/05/2005,21/05/2023,West Berkshire,2024
688804,1,15/04/2005,11/04/2023,Isle of Wight,2019
607698,2,24/02/2019,19/02/2037,Bracknell Forest,2019
627316,1,24/12/2005,20/12/2023,Wokingham,2024
697099,1,29/08/2021,25/08/2039,East Sussex,2023
629022,1,19/01/2007,14/01/2025,Slough,2024
670391,1,11/11/2009,07/11/2027,Slough,2019
653784,1,23/11/2015,18/11/2033,Brighton and Hove,2019
684647,1,06/06/2009,02/06/2027,Medway,2020
608340,1,13/06/2005,09/06/2023,Wokingham,2023
649212,1,13/10/2019,08/10/2037,Hampshire,2023
649120,2,24/05/2005,20/05/2023,Slough,2024
600457,1,11/01/2015,06/01/2033,Slough,2023
666649,2,02/07/2011,27/06/2029,Buckinghamshire,2020
638109,1,26/12/2005,22/12/2023,Slough,2023
632931,2,20/12/2005,16/12/2023,East Sussex,2024
657037,1,22/12/2005,18/12/2023,Bracknell Forest,2021
676550,1,25/12/2015,20/12/2033,Windsor and Maidenhead,2023
652764,2,28/08/2011,23/08/2029,Bracknell Forest,2023
647799,1,24/04/2012,20/04/2030,West Berkshire,2019
670841,1,05/02/2014,01/02/2032,Isle of Wight,2022
632876,2,09/06/2006,04/06/2024,Surrey,2020
609096,1,30/09/2012,26/09/2030,Buckinghamshire,2021
634681,1,11/09/2009,07/09/2027,Medway,2024
621564,2,12/02/2006,08/02/2024,Medway,2023
630733,1,05/03/2015,28/02/2033,West Sussex,2019
669581,1,30/09/2009,26/09/2027,Bracknell Forest,2023
637945,1,23/07/2014,18/07/2032,Milton Keynes,2023
652178,2,21/08/2005,17/08/2023,Oxfordshire,2021
602466,2,04/03/2017,28/02/2035,Hampshire,2024
660951,1,06/02/2006,02/02/2024,Reading,2022
605796,1,05/02/2006,01/02/2024,Bracknell Forest,2022
656933,1,16/06/2014,11/06/2032,Milton Keynes,2023
616596,2,15/11/2011,10/11/2029,Medway,2022
672909,2,10/03/2006,05/03/2024,Slough,2023
626872,1,17/05/2015,12/05/2033,Brighton and Hove,2019
601325,1,31/05/2006,26/05/2024,Wokingham,2021
625805,2,15/12/2006,10/12/2024,Buckinghamshire,2020
